movie_metadata,,,
genres,movie_title,movie_imdb_link,content_rating
Action|Adventure|Fantasy|Sci-Fi,Avatar聽,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End聽,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Thriller,Spectre聽,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,PG-13
Action|Thriller,The Dark Knight Rises聽,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,PG-13
Documentary,Star Wars: Episode VII - The Force Awakens聽            ,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,
Action|Adventure|Sci-Fi,John Carter聽,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Romance,Spider-Man 3,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,PG-13
Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled聽,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,PG
Action|Adventure|Sci-Fi,Avengers: Age of Ultron聽,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,PG-13
Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince聽,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,PG
Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice聽,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Superman Returns聽,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,PG-13
Action|Adventure,Quantum of Solace聽,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest聽,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Western,The Lone Ranger聽,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy|Sci-Fi,Man of Steel聽,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian聽,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,PG
Action|Adventure|Sci-Fi,The Avengers聽,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides聽,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,PG-13
Adventure|Fantasy,The Hobbit: The Battle of the Five Armies聽,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy,The Amazing Spider-Man聽,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Drama|History,Robin Hood聽,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,PG-13
Adventure|Fantasy,The Hobbit: The Desolation of Smaug聽,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,PG-13
Adventure|Family|Fantasy,The Golden Compass聽,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Drama|Romance,King Kong聽,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,PG-13
Drama|Romance,Titanic聽,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Captain America: Civil War聽,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi|Thriller,Battleship聽,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi|Thriller,Jurassic World聽,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Thriller,Skyfall聽,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy|Romance,Spider-Man 2,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Iron Man 3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,PG-13
Adventure|Family|Fantasy,Alice in Wonderland聽,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,PG
Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand聽,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,PG-13
Adventure|Animation|Comedy|Family|Fantasy,Monsters University聽,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,G
Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen聽,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Transformers: Age of Extinction聽,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,PG-13
Adventure|Family|Fantasy,Oz the Great and Powerful聽,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,PG
Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,TRON: Legacy聽,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,PG
Adventure|Animation|Comedy|Family|Sport,Cars 2,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,G
Action|Adventure|Sci-Fi,Green Lantern聽,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,PG-13
Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,G
Action|Adventure|Sci-Fi,Terminator Salvation聽,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,PG-13
Action|Crime|Thriller,Furious 7,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Horror|Sci-Fi|Thriller,World War Z聽,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past聽,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Star Trek Into Darkness聽,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,PG-13
Adventure|Fantasy,Jack the Giant Slayer聽,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,PG-13
Drama|Romance,The Great Gatsby聽,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time聽,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Pacific Rim聽,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,Transformers: Dark of the Moon聽,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull聽,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,PG-13
Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur聽,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,PG
Adventure|Animation|Comedy|Family|Fantasy,Brave聽,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,PG
Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond聽,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,PG-13
Adventure|Animation|Family|Sci-Fi,WALL路E聽,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,G
Action|Comedy|Crime|Thriller,Rush Hour 3,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Sci-Fi,2012,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,PG-13
Animation|Drama|Family|Fantasy,A Christmas Carol聽,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,PG
Action|Adventure|Sci-Fi,Jupiter Ascending聽,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,PG-13
Action|Adventure|Drama|Romance,The Legend of Tarzan聽,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,PG-13
Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe聽",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,PG
