	movie_title	content_rating	imdb_id	imdb_link	postername	poster_link
0	Avatar	PG-13	tt0499549	https://www.imdb.com/title/tt0499549	Avatar Poster	https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_UX182_CR0,0,182,268_AL_.jpg
1	Pirates of the Caribbean: At World's End	PG-13	tt0449088	https://www.imdb.com/title/tt0449088	Pirates of the Caribbean: At World's End Poster	https://m.media-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_UX182_CR0,0,182,268_AL_.jpg
2	Spectre	PG-13	tt2379713	https://www.imdb.com/title/tt2379713	Spectre Poster	https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg
3	The Dark Knight Rises	PG-13	tt1345836	https://www.imdb.com/title/tt1345836	The Dark Knight Rises Poster	https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg
4	John Carter	PG-13	tt0401729	https://www.imdb.com/title/tt0401729	John Carter Poster	https://m.media-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR6,0,182,268_AL_.jpg
5	Spider-Man 	PG-13	tt0413300	https://www.imdb.com/title/tt0413300	Spider-Man 3 Poster	https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg
6	Spider-Man 	PG-13	tt0413300	https://www.imdb.com/title/tt0413300	Spider-Man 3 Poster	https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg
7	Spider-Man 	PG-13	tt0413300	https://www.imdb.com/title/tt0413300	Spider-Man 3 Poster	https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg
8	Spider-Man 	PG-13	tt0413300	https://www.imdb.com/title/tt0413300	Spider-Man 3 Poster	https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg
9	Tangled	PG	tt0398286	https://www.imdb.com/title/tt0398286	Tangled Poster	https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_UX182_CR0,0,182,268_AL_.jpg
10	Avengers: Age of Ultron	PG-13	tt2395427	https://www.imdb.com/title/tt2395427	Avengers: Age of Ultron Poster	https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_UX182_CR0,0,182,268_AL_.jpg
11	Harry Potter and the Half-Blood Prince	PG	tt0417741	https://www.imdb.com/title/tt0417741	Harry Potter and the Half-Blood Prince Poster	https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg
12	Batman v Superman: Dawn of Justice	PG-13	tt2975590	https://www.imdb.com/title/tt2975590	Batman v Superman: Dawn of Justice Poster	https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
13	Superman Returns	PG-13	tt0348150	https://www.imdb.com/title/tt0348150	Superman Returns Poster	https://m.media-amazon.com/images/M/MV5BNzY2ZDQ2MTctYzlhOC00MWJhLTgxMmItMDgzNDQwMDdhOWI2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg
14	Quantum of Solace	PG-13	tt0830515	https://www.imdb.com/title/tt0830515	Quantum of Solace Poster	https://m.media-amazon.com/images/M/MV5BMjZiYTUzMzktZWI5Yy00Mzk4LWFlMDgtYjRmNWU0Mzc0MzNiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX182_CR0,0,182,268_AL_.jpg
15	Pirates of the Caribbean: Dead Man's Chest	PG-13	tt0383574	https://www.imdb.com/title/tt0383574	Pirates of the Caribbean: Dead Man's Chest Poster	https://m.media-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_UX182_CR0,0,182,268_AL_.jpg
16	The Lone Ranger	PG-13	tt1210819	https://www.imdb.com/title/tt1210819	The Lone Ranger Poster	https://m.media-amazon.com/images/M/MV5BZjFiMTc2MTAtZDA0My00OGRmLTk5M2ItNTlmYTUwZmU2YmRiXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg
17	Man of Steel	PG-13	tt0770828	https://www.imdb.com/title/tt0770828	Man of Steel Poster	https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
18	The Chronicles of Narnia: Prince Caspian	PG	tt0499448	https://www.imdb.com/title/tt0499448	The Chronicles of Narnia: Prince Caspian Poster	https://m.media-amazon.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg
19	The Avengers	PG-13	tt0848228	https://www.imdb.com/title/tt0848228	The Avengers Poster	https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg
20	The Avengers	PG-13	tt0848228	https://www.imdb.com/title/tt0848228	The Avengers Poster	https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg
21	The Avengers	PG-13	tt0848228	https://www.imdb.com/title/tt0848228	The Avengers Poster	https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg
22	The Avengers	PG-13	tt0848228	https://www.imdb.com/title/tt0848228	The Avengers Poster	https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg
23	Pirates of the Caribbean: On Stranger Tides	PG-13	tt1298650	https://www.imdb.com/title/tt1298650	Pirates of the Caribbean: On Stranger Tides Poster	https://m.media-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_UX182_CR0,0,182,268_AL_.jpg
24	Men in Black 	PG-13	tt1409024	https://www.imdb.com/title/tt1409024	Men in Black 3 Poster	https://m.media-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg
25	The Hobbit: The Battle of the Five Armies	PG-13	tt2310332	https://www.imdb.com/title/tt2310332	The Hobbit: The Battle of the Five Armies Poster	https://m.media-amazon.com/images/M/MV5BMTYzNDE3OTQ3MF5BMl5BanBnXkFtZTgwODczMTg4MjE@._V1_UX182_CR0,0,182,268_AL_.jpg
26	The Amazing Spider-Man	PG-13	tt0948470	https://www.imdb.com/title/tt0948470	The Amazing Spider-Man Poster	https://m.media-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_UX182_CR0,0,182,268_AL_.jpg
27	Robin Hood	PG-13	tt0955308	https://www.imdb.com/title/tt0955308	Robin Hood Poster	https://m.media-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_UX182_CR0,0,182,268_AL_.jpg
28	The Hobbit: The Desolation of Smaug	PG-13	tt1170358	https://www.imdb.com/title/tt1170358	The Hobbit: The Desolation of Smaug Poster	https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg
29	The Golden Compass	PG-13	tt0385752	https://www.imdb.com/title/tt0385752	The Golden Compass Poster	https://m.media-amazon.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_UX182_CR0,0,182,268_AL_.jpg
30	King Kong	PG-13	tt0360717	https://www.imdb.com/title/tt0360717	King Kong Poster	https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
31	King Kong	PG-13	tt0360717	https://www.imdb.com/title/tt0360717	King Kong Poster	https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
32	King Kong	PG-13	tt0360717	https://www.imdb.com/title/tt0360717	King Kong Poster	https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
33	King Kong	PG-13	tt0360717	https://www.imdb.com/title/tt0360717	King Kong Poster	https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg
